Name,Cost,Quantity,Type,Peelable,Pitable,Needs Washed
Orange,0.5,4,FRUIT,TRUE,,
Apple,0.25,5,FRUIT,,TRUE,
Pineapple,0.75,6,FRUIT,TRUE,TRUE,
Banana,0.1,7,FRUIT,TRUE,,
Strawberry,0.4,8,FRUIT,,,TRUE
Mango,1,4,FRUIT,TRUE,TRUE,
Guava,1,5,FRUIT,TRUE,TRUE,
Passion Fruit,1.1,6,FRUIT,TRUE,,
Pomegranate,0.9,7,FRUIT,TRUE,,
Watermelon,0.1,8,FRUIT,TRUE,,
Acai,1.05,4,FRUIT,,,TRUE
Blueberry,0.2,5,FRUIT,,,TRUE
Carrot,0.35,6,VEGETABLE,TRUE,,
Celery,0.05,7,VEGETABLE,,,TRUE
Tomato,0.25,8,VEGETABLE,,,TRUE
Radish,0.02,4,VEGETABLE,,,TRUE
Kale,0.6,5,VEGETABLE,,,TRUE
Spinach,0.2,6,VEGETABLE,,,TRUE
Ice,0,7,MISC,,,
Water,0,8,BASE,,,
Milk,0.1,6,BASE,,,
Yogurt,0.1,6,BASE,,,
